N,seed,qaoa_seed,pipeline_imbalance,status,solver_status,solve_seconds,reported_objective_units,verified_objective_units,witness_imbalance,exact_certificate_at_scale,mip_gap,pipeline_proven_nonoptimal,pipeline_certified_optimal
30,14,10014,0.005753449695554913,time_limit_with_witness,1,0.5013620570007333,222225.0,222225,0.00022222569453411722,False,1.0,True,False
30,15,10015,0.005337806395296241,time_limit_with_witness,1,0.5080049900006998,30034.0,30034,3.00357320384137e-05,False,1.0,True,False
30,16,10016,0.015392034452176517,time_limit_with_witness,1,0.5061806209996575,6787.0,6787,6.788034696114664e-06,False,1.0,True,False
30,17,10017,0.02036872867212125,time_limit_with_witness,1,0.5014117479986453,39430.0,39430,3.942864918649036e-05,False,1.0,True,False
30,18,10018,0.0014789552642522352,time_limit_with_witness,1,0.5026257140016241,108371.0,108371,0.00010837013809705809,False,1.0,True,False
30,19,10019,0.06882708883140687,time_limit_with_witness,1,0.5014068279997446,97090.0,97090,9.709242358368897e-05,False,1.0,True,False
40,0,10000,0.006056443956184765,time_limit_with_witness,1,0.5017062299993995,48016.0,48016,4.8018151488804506e-05,False,1.0,True,False
40,1,10001,0.01037751174039947,time_limit_with_witness,1,0.5054910680009925,18806.0,18806,1.8805551817990818e-05,False,1.0,True,False
40,2,10002,0.016695165927963274,time_limit_with_witness,1,0.5013519570002245,21321.0,21321,2.1321500430104834e-05,False,1.0,True,False
40,3,10003,0.023412942328700836,time_limit_with_witness,1,0.5021533310009545,49526.0,49526,4.952465310026355e-05,False,0.9999798085853895,True,False
40,4,10004,0.011791813674291163,time_limit_with_witness,1,0.5052374369988684,18880.999999046326,18881,1.8880965289014284e-05,False,0.9999999999818481,True,False
40,5,10005,0.000734985639734731,time_limit_with_witness,1,0.5022668919991702,26795.0,26795,2.679468260780027e-05,False,1.0,True,False
40,6,10006,0.006890909948301882,time_limit_with_witness,1,0.5024954729997262,27128.0,27128,2.7125309124187424e-05,False,1.0,True,False
40,7,10007,0.018125068333823435,time_limit_with_witness,1,0.503484197999569,6096.0,6096,6.096581913084265e-06,False,1.0,True,False
40,8,10008,0.018486943624425933,time_limit_with_witness,1,0.5014925180003047,12202.0,12202,1.2201855327020894e-05,False,1.0,True,False
40,9,10009,0.0010280205900929928,time_limit_with_witness,1,0.5022675119998894,61091.0,61091,6.109289957123565e-05,False,1.0,True,False
40,10,10010,0.04190727242662007,time_limit_with_witness,1,0.5029160960002628,48329.0,48329,4.832962443757083e-05,False,0.9999793084897267,True,False
40,11,10011,0.0182102744071706,time_limit_with_witness,1,0.5048735050004325,78434.0,78434,7.843788762684767e-05,False,1.0,True,False
40,12,10012,0.02868726562623003,time_limit_with_witness,1,0.5044025019997207,51770.0,51770,5.17693925274898e-05,False,1.0,True,False
40,13,10013,0.00811409818847686,time_limit_with_witness,1,0.5022555920004379,6923.0,6923,6.922311310830764e-06,False,0.9999999999698662,True,False
40,14,10014,0.03074590930306975,time_limit_with_witness,1,0.509239166000043,86786.0,86786,8.678896634251032e-05,False,0.9999884774041896,True,False
40,15,10015,0.005635211423568265,time_limit_with_witness,1,0.5024542130013288,45115.0,45115,4.5113200535240594e-05,False,1.0,True,False
40,16,10016,0.0019921236834026246,time_limit_with_witness,1,0.5042557820015645,17828.0,17828,1.7826701625978103e-05,False,0.9999999999954552,True,False
40,17,10017,0.021445168317073993,time_limit_with_witness,1,0.5019515200001479,35642.0,35642,3.5640788492941056e-05,False,1.0,True,False
40,18,10018,0.005670391452870405,time_limit_with_witness,1,0.5030669860007038,21844.0,21844,2.1841195714245032e-05,False,0.9999999999675973,True,False
40,19,10019,0.008237075735742394,time_limit_with_witness,1,0.5015341489997809,56374.0,56374,5.637502921729265e-05,False,0.9999999999936562,True,False
50,0,10000,0.006788434023716761,time_limit_with_witness,1,0.5021113219991094,27480.0,27480,2.7479205527924933e-05,False,1.0,True,False
50,1,10001,0.011574780423389441,time_limit_with_witness,1,0.5041604719990573,61403.0,61403,6.140458964409845e-05,False,0.9999999999990293,True,False
