N,seed,qaoa_seed,status,num_subqubos,tempo_total_ms,tempo_qaoa_ms,tempo_overhead_ms,baseline_method,baseline_certified,baseline_energy,pipeline_energy,is_optimal,gap_relativo,load_imbalance,annealing_restarts_stable,annealing_restart_energy_std
10,11,10011,success,3,6280.693517000145,6274.359330998777,6.334186001367925,bruteforce,True,-58.42378334020227,-58.423764549756115,False,3.2162323425847377e-07,0.00636976367359976,,
10,12,10012,success,3,6027.705648002666,6021.5484330001345,6.157215002531302,bruteforce,True,-60.98203665596159,-60.98016720301797,False,3.065579711891134e-05,0.06116756091338438,,
10,13,10013,success,3,6062.13009899966,6056.034485000055,6.095613999605121,bruteforce,True,-70.02042082430373,-69.9965453994259,False,0.00034097802607810373,0.22096410588042792,,
10,14,10014,success,3,5955.556755999169,5949.613861999751,5.94289399941772,bruteforce,True,-70.88339508508406,-70.8797251101841,False,5.177481828513686e-05,0.08575956377970817,,
10,15,10015,success,3,6038.129600998218,6031.643344998884,6.486255999334389,bruteforce,True,-63.06996901186012,-63.06653878940893,False,5.4387571532517154e-05,0.08285181159722299,,
10,16,10016,success,3,5966.114500000003,5959.348152001439,6.766347998564015,bruteforce,True,-60.85018221805859,-60.850080738114116,False,1.6677015709240061e-06,0.01984683387576336,,
10,17,10017,success,3,5886.761855999794,5880.7332220003445,6.0286339994490845,bruteforce,True,-59.347716145516806,-59.34366835479657,False,6.820465863102369e-05,0.08997627912562933,,
10,18,10018,success,3,5960.525995002172,5954.422691000218,6.103304001953802,bruteforce,True,-61.6785681743922,-61.678414471487756,False,2.491998582178551e-06,0.017535996386161656,,
10,19,10019,success,3,6120.497795000119,6113.903309000307,6.594485999812605,bruteforce,True,-63.81574763674902,-63.804563235941686,False,0.00017526082858107831,0.14988301140468385,,
15,0,10000,success,4,8970.888709000974,8788.617000001068,182.27170899990597,bruteforce,True,-106.55628873054636,-106.55102156628598,False,4.943081561045557e-05,0.1026368994580027,,
15,1,10001,success,4,9101.770622998629,8916.393089998564,185.37753300006443,bruteforce,True,-105.5552341387634,-105.55198178617997,False,3.081185513884748e-05,0.08065177777616395,,
15,2,10002,success,4,8879.837030999624,8701.370074999431,178.46695600019302,bruteforce,True,-94.26588730420852,-94.26566546070431,False,2.353380534050593e-06,0.021069642173784153,,
15,3,10003,success,4,8991.432943999826,8814.619005001077,176.8139389987482,bruteforce,True,-95.3740503024223,-95.37251359974603,False,1.6112377228431568e-05,0.05543833671264231,,
15,4,10004,success,4,8935.828538998976,8757.134491001125,178.69404799785116,bruteforce,True,-119.84306443822719,-119.83577120641266,False,6.085651972199359e-05,0.1207767369932009,,
15,5,10005,success,4,8951.373198998226,8773.451870999452,177.92132799877436,bruteforce,True,-103.47666593103281,-103.4764364338187,False,2.217864404910521e-06,0.021424255238273737,,
15,6,10006,success,4,8917.993166998713,8736.155902999599,181.83726399911393,bruteforce,True,-105.17840760198496,-105.17671466059834,False,1.6095902431121117e-05,0.05818972006533363,,
15,7,10007,success,4,8893.2000349987,8713.505720000285,179.69431499841448,bruteforce,True,-103.68555691570634,-103.68540252512693,False,1.4890268616323958e-06,0.017572170313965962,,
15,8,10008,success,4,8934.428923997984,8751.610186000107,182.81873799787718,bruteforce,True,-97.91618738444883,-97.91220968616246,False,4.0623500491899315e-05,0.08919303317241134,,
15,9,10009,success,4,9077.095519000068,8897.490192999612,179.60532600045553,bruteforce,True,-113.55577872774217,-113.55570103733685,False,6.841607374817443e-07,0.012466986643435263,,
15,10,10010,success,4,9411.176887997499,9225.221565999163,185.95532199833542,bruteforce,True,-115.70788267942174,-115.70654416631349,False,1.1568037347636597e-05,0.05174186137484149,,
15,11,10011,success,4,9242.648766999082,9053.652930999306,188.99583599977632,bruteforce,True,-93.36835807665352,-93.36828269308003,False,8.073781636650819e-07,0.012280112614857064,,
15,12,10012,success,4,9381.81750000058,9200.085974999638,181.73152500094147,bruteforce,True,-93.07555995852884,-93.07484190904333,False,7.71469423158344e-06,0.03789589983775743,,
15,13,10013,success,4,9473.034992997782,9291.479877999336,181.5551149984458,bruteforce,True,-113.42328630647735,-113.42270815825431,False,5.097262139624596e-06,0.03400436665429751,,
15,14,10014,success,4,9153.69578300033,8965.46900300018,188.22678000015003,bruteforce,True,-115.99019751592047,-115.99008337833985,False,9.840278150100384e-07,0.015111555848581482,,
15,15,10015,success,4,9572.058676997585,9387.999192999814,184.05948399777117,bruteforce,True,-109.05634431048549,-109.05562105033226,False,6.6319860416666055e-06,0.03803433863356087,,
15,16,10016,success,4,9894.586070000514,9710.821606999161,183.76446300135285,bruteforce,True,-101.96759692949509,-101.96757556662243,False,2.0950648344871735e-07,0.006539925814336822,,
15,17,10017,success,4,8932.870240000739,8754.994869999791,177.87537000094744,bruteforce,True,-100.17557750936332,-100.17416581302598,False,1.4092220603475484e-05,0.05313562584167464,,
15,18,10018,success,4,8899.267797999528,8717.230513999311,182.03728400021646,bruteforce,True,-112.21289836436576,-112.21236835178247,False,4.7232768336686515e-06,0.03256030213280425,,
15,19,10019,success,4,9099.210880002829,8917.455945001166,181.7549350016634,bruteforce,True,-109.9257701704092,-109.9257602721658,False,9.004479455367283e-08,0.004449472202174398,,
