source_file,scenario_id,experiment,repeat_number,status,pipeline,num_entities,num_cores,num_variables,layers,steps,learning_rate,mixer_type,init_strategy,init_gamma,init_beta,random_seed,top_k,penalty,penalty_multiplier,weight_distribution,qubit_max,sorting_strategy,energy,brute_force_energy,feasible,optimal,optimality_gap,solve_time_ms,max_probability,convergence_iterations_to_final_tol,max_subqubo_convergence_iterations_to_final_tol,num_sub_qubos,all_sub_qubos_feasible,load_imbalance,recorded_sa_energy,recorded_sa_gap
sweep_20260626_152916_694c56fc_results.jsonl,C1.3,C1,1,success,default,4,2,8,2,100,0.05,x,,0.5,0.5,,64,0.35,,,8,COUPLING_DESCENDING,-1.9,-1.9,True,True,0.0,2248.380179999913,0.08940982622022631,,,,,,,
sweep_20260626_152916_694c56fc_results.jsonl,C1.3,C1,2,success,default,4,2,8,2,100,0.05,x,,0.5,0.5,,64,0.35,,,8,COUPLING_DESCENDING,-1.9,-1.9,True,True,0.0,2196.7678299997715,0.08940982622022631,,,,,,,
sweep_20260626_152916_694c56fc_results.jsonl,C1.3,C1,3,success,default,4,2,8,2,100,0.05,x,,0.5,0.5,,64,0.35,,,8,COUPLING_DESCENDING,-1.9,-1.9,True,True,0.0,2301.3534040001105,0.08940982622022631,,,,,,,
sweep_20260626_152916_694c56fc_results.jsonl,C1.3,C1,4,success,default,4,2,8,2,100,0.05,x,,0.5,0.5,,64,0.35,,,8,COUPLING_DESCENDING,-1.9,-1.9,True,True,0.0,2374.4305660002283,0.08940982622022631,,,,,,,
sweep_20260626_152916_694c56fc_results.jsonl,C1.3,C1,5,success,default,4,2,8,2,100,0.05,x,,0.5,0.5,,64,0.35,,,8,COUPLING_DESCENDING,-1.9,-1.9,True,True,0.0,2287.5997189999,0.08940982622022631,,,,,,,
sweep_20260626_152916_694c56fc_results.jsonl,C1.4,C1,1,success,default,4,2,8,2,100,0.05,x,,0.5,0.5,,64,0.7,,,8,COUPLING_DESCENDING,-3.3,-3.3,True,True,0.0,2321.4473709999766,0.0812126726496711,,,,,,,
sweep_20260626_152916_694c56fc_results.jsonl,C1.4,C1,2,success,default,4,2,8,2,100,0.05,x,,0.5,0.5,,64,0.7,,,8,COUPLING_DESCENDING,-3.3,-3.3,True,True,0.0,2325.622535000093,0.0812126726496711,,,,,,,
sweep_20260626_152916_694c56fc_results.jsonl,C1.4,C1,3,success,default,4,2,8,2,100,0.05,x,,0.5,0.5,,64,0.7,,,8,COUPLING_DESCENDING,-3.3,-3.3,True,True,0.0,2363.094157999967,0.0812126726496711,,,,,,,
sweep_20260626_152916_694c56fc_results.jsonl,C1.4,C1,4,success,default,4,2,8,2,100,0.05,x,,0.5,0.5,,64,0.7,,,8,COUPLING_DESCENDING,-3.3,-3.3,True,True,0.0,2277.106885000194,0.0812126726496711,,,,,,,
sweep_20260626_152916_694c56fc_results.jsonl,C1.4,C1,5,success,default,4,2,8,2,100,0.05,x,,0.5,0.5,,64,0.7,,,8,COUPLING_DESCENDING,-3.3,-3.3,True,True,0.0,2271.2176260001797,0.0812126726496711,,,,,,,
sweep_20260626_152916_694c56fc_results.jsonl,C1.5,C1,1,success,default,4,2,8,2,100,0.05,x,,0.5,0.5,,64,1.4,,,8,COUPLING_DESCENDING,-6.1,-6.1,True,True,0.0,2173.705483000049,0.07374138343602686,,,,,,,
sweep_20260626_152916_694c56fc_results.jsonl,C1.5,C1,2,success,default,4,2,8,2,100,0.05,x,,0.5,0.5,,64,1.4,,,8,COUPLING_DESCENDING,-6.1,-6.1,True,True,0.0,2268.213066000044,0.07374138343602686,,,,,,,
sweep_20260626_152916_694c56fc_results.jsonl,C1.5,C1,3,success,default,4,2,8,2,100,0.05,x,,0.5,0.5,,64,1.4,,,8,COUPLING_DESCENDING,-6.1,-6.1,True,True,0.0,2269.8577999999543,0.07374138343602686,,,,,,,
sweep_20260626_152916_694c56fc_results.jsonl,C1.5,C1,4,success,default,4,2,8,2,100,0.05,x,,0.5,0.5,,64,1.4,,,8,COUPLING_DESCENDING,-6.1,-6.1,True,True,0.0,2265.6523660002676,0.07374138343602686,,,,,,,
sweep_20260626_152916_694c56fc_results.jsonl,C1.5,C1,5,success,default,4,2,8,2,100,0.05,x,,0.5,0.5,,64,1.4,,,8,COUPLING_DESCENDING,-6.1,-6.1,True,True,0.0,2291.3114110001516,0.07374138343602686,,,,,,,
sweep_20260626_153039_2c23dc71_results.jsonl,D2.1,D2,1,success,iterative,8,2,16,2,100,0.05,xy,,0.5,0.5,,32,5.0,,,4,COUPLING_DESCENDING,-40.9248,-40.924800000000005,True,True,0.0,4777.09948500069,,,,4,True,1.1102230246251565e-16,,
sweep_20260626_153039_2c23dc71_results.jsonl,D2.1,D2,2,success,iterative,8,2,16,2,100,0.05,xy,,0.5,0.5,,32,5.0,,,4,COUPLING_DESCENDING,-40.9248,-40.924800000000005,True,True,0.0,4377.028193999195,,,,4,True,1.1102230246251565e-16,,
sweep_20260626_153039_2c23dc71_results.jsonl,D2.1,D2,3,success,iterative,8,2,16,2,100,0.05,xy,,0.5,0.5,,32,5.0,,,4,COUPLING_DESCENDING,-40.9248,-40.924800000000005,True,True,0.0,4518.3574610000505,,,,4,True,1.1102230246251565e-16,,
sweep_20260626_153039_2c23dc71_results.jsonl,D2.1,D2,4,success,iterative,8,2,16,2,100,0.05,xy,,0.5,0.5,,32,5.0,,,4,COUPLING_DESCENDING,-40.9248,-40.924800000000005,True,True,0.0,4547.121745000368,,,,4,True,1.1102230246251565e-16,,
sweep_20260626_153039_2c23dc71_results.jsonl,D2.1,D2,5,success,iterative,8,2,16,2,100,0.05,xy,,0.5,0.5,,32,5.0,,,4,COUPLING_DESCENDING,-40.9248,-40.924800000000005,True,True,0.0,4531.8474139999125,,,,4,True,1.1102230246251565e-16,,
sweep_20260626_153039_2c23dc71_results.jsonl,D2.2,D2,1,success,iterative,8,2,16,2,100,0.05,xy,,0.5,0.5,,32,5.0,,,6,COUPLING_DESCENDING,-40.9248,-40.924800000000005,True,True,0.0,4394.355590000032,,,,3,True,1.1102230246251565e-16,,
sweep_20260626_153039_2c23dc71_results.jsonl,D2.2,D2,2,success,iterative,8,2,16,2,100,0.05,xy,,0.5,0.5,,32,5.0,,,6,COUPLING_DESCENDING,-40.9248,-40.924800000000005,True,True,0.0,4596.427577999748,,,,3,True,1.1102230246251565e-16,,
sweep_20260626_153039_2c23dc71_results.jsonl,D2.2,D2,3,success,iterative,8,2,16,2,100,0.05,xy,,0.5,0.5,,32,5.0,,,6,COUPLING_DESCENDING,-40.9248,-40.924800000000005,True,True,0.0,4405.754368000089,,,,3,True,1.1102230246251565e-16,,
sweep_20260626_153039_2c23dc71_results.jsonl,D2.2,D2,4,success,iterative,8,2,16,2,100,0.05,xy,,0.5,0.5,,32,5.0,,,6,COUPLING_DESCENDING,-40.9248,-40.924800000000005,True,True,0.0,4727.963863999776,,,,3,True,1.1102230246251565e-16,,
sweep_20260626_153039_2c23dc71_results.jsonl,D2.2,D2,5,success,iterative,8,2,16,2,100,0.05,xy,,0.5,0.5,,32,5.0,,,6,COUPLING_DESCENDING,-40.9248,-40.924800000000005,True,True,0.0,4609.538402999988,,,,3,True,1.1102230246251565e-16,,
sweep_20260626_153039_2c23dc71_results.jsonl,D2.3,D2,1,success,iterative,8,2,16,2,100,0.05,xy,,0.5,0.5,,32,5.0,,,8,COUPLING_DESCENDING,-40.9248,-40.924800000000005,True,True,0.0,4825.94412699973,,,,2,True,1.1102230246251565e-16,,
sweep_20260626_153039_2c23dc71_results.jsonl,D2.3,D2,2,success,iterative,8,2,16,2,100,0.05,xy,,0.5,0.5,,32,5.0,,,8,COUPLING_DESCENDING,-40.9248,-40.924800000000005,True,True,0.0,4879.509653999776,,,,2,True,1.1102230246251565e-16,,
sweep_20260626_153039_2c23dc71_results.jsonl,D2.3,D2,3,success,iterative,8,2,16,2,100,0.05,xy,,0.5,0.5,,32,5.0,,,8,COUPLING_DESCENDING,-40.9248,-40.924800000000005,True,True,0.0,5113.233427000523,,,,2,True,1.1102230246251565e-16,,
sweep_20260626_153039_2c23dc71_results.jsonl,D2.3,D2,4,success,iterative,8,2,16,2,100,0.05,xy,,0.5,0.5,,32,5.0,,,8,COUPLING_DESCENDING,-40.9248,-40.924800000000005,True,True,0.0,4557.669239999996,,,,2,True,1.1102230246251565e-16,,
sweep_20260626_153039_2c23dc71_results.jsonl,D2.3,D2,5,success,iterative,8,2,16,2,100,0.05,xy,,0.5,0.5,,32,5.0,,,8,COUPLING_DESCENDING,-40.9248,-40.924800000000005,True,True,0.0,4508.711150000636,,,,2,True,1.1102230246251565e-16,,
sweep_20260626_153039_2c23dc71_results.jsonl,D2.4,D2,1,success,iterative,8,2,16,2,100,0.05,xy,,0.5,0.5,,32,5.0,,,10,COUPLING_DESCENDING,-40.924800000000005,-40.924800000000005,True,True,0.0,4807.954238000093,,,,2,True,0.0,,
sweep_20260626_153039_2c23dc71_results.jsonl,D2.4,D2,2,success,iterative,8,2,16,2,100,0.05,xy,,0.5,0.5,,32,5.0,,,10,COUPLING_DESCENDING,-40.924800000000005,-40.924800000000005,True,True,0.0,4810.332586000186,,,,2,True,0.0,,
sweep_20260626_153039_2c23dc71_results.jsonl,D2.4,D2,3,success,iterative,8,2,16,2,100,0.05,xy,,0.5,0.5,,32,5.0,,,10,COUPLING_DESCENDING,-40.924800000000005,-40.924800000000005,True,True,0.0,4655.3769440001815,,,,2,True,0.0,,
sweep_20260626_153039_2c23dc71_results.jsonl,D2.4,D2,4,success,iterative,8,2,16,2,100,0.05,xy,,0.5,0.5,,32,5.0,,,10,COUPLING_DESCENDING,-40.924800000000005,-40.924800000000005,True,True,0.0,5048.974843999986,,,,2,True,0.0,,
sweep_20260626_153039_2c23dc71_results.jsonl,D2.4,D2,5,success,iterative,8,2,16,2,100,0.05,xy,,0.5,0.5,,32,5.0,,,10,COUPLING_DESCENDING,-40.924800000000005,-40.924800000000005,True,True,0.0,4639.925603000393,,,,2,True,0.0,,
