source_file,scenario_id,experiment,status,structure,instance,difficulty,input_num_processes,num_entities,num_variables,num_cores,weights,pipeline,qubit_max,layers,steps,top_k,random_seed,io_alpha,energy,brute_force_energy,sa_energy,feasible,recorded_optimal,strict_optimal,optimal,sa_strict_optimal,optimality_gap,absolute_gap,recorded_qaoa_sa_agreement,qaoa_sa_agreement,load_imbalance,solve_time_ms,convergence_iterations,max_subqubo_convergence_iterations,num_sub_qubos,brute_force_solve_time_ms,annealing_solve_time_ms,workload_ms,clustering_ms,decomposition_ms,qubo_build_ms,qaoa_ms,reconstruction_ms,validation_ms,operational_validation_ms,experimental_baselines_ms,cluster_num_bundles,cluster_purity,intra_cluster_coupling_mean,inter_cluster_coupling_mean,cluster_bundles,operational_total_ms
sweep_20260627_173904_53bdbde0_results.jsonl,E2.29,E2,success,,,,8,8,16,2,"[0.3, 0.27, 0.22, 0.18, 0.15, 0.11, 0.08, 0.05]",default,16,2,500,10,104,0.5,-40.665600000000005,-40.924800000000005,-40.9248,True,False,False,False,True,0.006333567909922431,0.2591999999999999,False,False,0.72,35129.01032299851,12,,,1578.9048671722412,428.3403979989089,0.009479999789618887,0.0,0.0,0.09118100024352316,35129.60352600021,0.0,2007.5197919995844,0.2745268284343183,2007.24526517115,,,,,[],35129.97871382868
sweep_20260627_173904_53bdbde0_results.jsonl,E2.30,E2,success,,,,8,8,16,2,"[0.3, 0.27, 0.22, 0.18, 0.15, 0.11, 0.08, 0.05]",default,16,2,500,10,105,0.5,-40.900600000000004,-40.924800000000005,-40.924800000000005,True,False,False,False,True,0.0005913284854171517,0.024200000000000443,False,False,0.21999999999999997,35110.04701099955,2,,,1592.799425125122,448.569875999965,0.007340000593103468,0.0,0.0,0.06222000047273468,35110.66795399893,0.0,2041.6663579999295,0.29705687484238297,2041.369301125087,,,,,[],35111.034570874835
sweep_20260627_173904_53bdbde0_results.jsonl,E2.31,E2,success,,,,8,8,16,2,"[0.3, 0.27, 0.22, 0.18, 0.15, 0.11, 0.08, 0.05]",default,16,3,100,10,101,0.5,-40.635999999999996,-40.924800000000005,-40.9248,True,False,False,False,True,0.0070568457267965136,0.28880000000000905,False,False,0.76,10159.769084999425,12,,,1603.1079292297363,442.06088399914734,0.011300000551273115,0.0,0.0,0.08866099960869178,10160.38154799935,0.0,2045.447057000274,0.27824377139040735,2045.1688132288837,,,,,[],10160.7597527709
sweep_20260627_173904_53bdbde0_results.jsonl,E2.32,E2,success,,,,8,8,16,2,"[0.3, 0.27, 0.22, 0.18, 0.15, 0.11, 0.08, 0.05]",default,16,3,100,10,102,0.5,-40.924800000000005,-40.924800000000005,-40.924800000000005,True,True,True,True,True,0.0,0.0,True,True,0.0,10154.313828999875,85,,,1617.0365810394287,424.09367699838185,0.008630000593257137,0.0,0.0,0.0652109993097838,10155.05824200045,0.0,2041.4388469998812,0.3085889620706439,2041.1302580378106,,,,,[],10155.440671962424
sweep_20260627_173904_53bdbde0_results.jsonl,E2.33,E2,success,,,,8,8,16,2,"[0.3, 0.27, 0.22, 0.18, 0.15, 0.11, 0.08, 0.05]",default,16,3,100,10,103,0.5,-40.635999999999996,-40.924800000000005,-40.9248,True,False,False,False,True,0.0070568457267965136,0.28880000000000905,False,False,0.76,10215.863688999889,4,,,1605.2417755126953,446.9070079994708,0.007360000381595455,0.0,0.0,0.06052000026102178,10216.4508019996,0.0,2052.419880999878,0.2710974877118133,2052.148783512166,,,,,[],10216.789779487954
sweep_20260627_173904_53bdbde0_results.jsonl,E2.34,E2,success,,,,8,8,16,2,"[0.3, 0.27, 0.22, 0.18, 0.15, 0.11, 0.08, 0.05]",default,16,3,100,10,104,0.5,-40.900600000000004,-40.924800000000005,-40.9248,True,False,False,False,True,0.0005913284854171517,0.024200000000000443,False,False,0.21999999999999997,10261.67316200008,21,,,1593.055248260498,431.98825500076055,0.01089999932446517,0.0,0.0,0.09927999963110778,10262.242924998645,0.0,2025.3250189998653,0.2815157386066858,2025.0435032612586,,,,,[],10262.634620736208
sweep_20260627_173904_53bdbde0_results.jsonl,E2.35,E2,success,,,,8,8,16,2,"[0.3, 0.27, 0.22, 0.18, 0.15, 0.11, 0.08, 0.05]",default,16,3,100,10,105,0.5,-40.924800000000005,-40.924800000000005,-40.924800000000005,True,True,True,True,True,0.0,0.0,True,True,0.0,10272.077831999923,46,,,1626.7483234405518,437.71926299996267,0.007740000000922009,0.0,0.0,0.06110100002842955,10272.763196000597,0.0,2064.7528209992743,0.2852345587598393,2064.4675864405144,,,,,[],10273.117271559386
sweep_20260627_173904_53bdbde0_results.jsonl,E2.36,E2,success,,,,8,8,16,2,"[0.3, 0.27, 0.22, 0.18, 0.15, 0.11, 0.08, 0.05]",default,16,3,200,10,101,0.5,-40.900600000000004,-40.924800000000005,-40.9248,True,False,False,False,True,0.0005913284854171517,0.024200000000000443,False,False,0.21999999999999997,20176.04681100056,12,,,1683.5033893585205,457.1972880003159,0.007759999789413996,0.0,0.0,0.06534999920404516,20176.676724000572,0.0,2141.017321999243,0.3166446404065937,2140.7006773588364,,,,,[],20177.066478639972
sweep_20260627_173904_53bdbde0_results.jsonl,E2.37,E2,success,,,,8,8,16,2,"[0.3, 0.27, 0.22, 0.18, 0.15, 0.11, 0.08, 0.05]",default,16,3,200,10,102,0.5,-40.9246,-40.924800000000005,-40.924800000000005,True,True,False,False,True,4.88701227633695e-06,0.0002000000000066393,True,False,0.020000000000000018,20269.037314999878,86,,,1577.3797035217285,422.6553200005583,0.008320001143147238,0.0,0.0,0.0696400002198061,20269.81000900014,0.0,2000.34495699947,0.30993347718322184,2000.0350235222868,,,,,[],20270.197902478685
sweep_20260627_173904_53bdbde0_results.jsonl,E2.38,E2,success,,,,8,8,16,2,"[0.3, 0.27, 0.22, 0.18, 0.15, 0.11, 0.08, 0.05]",default,16,3,200,10,103,0.5,-40.635999999999996,-40.924800000000005,-40.9248,True,False,False,False,True,0.0070568457267965136,0.28880000000000905,False,False,0.76,20040.691361999052,4,,,1618.4148788452148,433.0753209997056,0.007499998901039362,0.0,0.0,0.061810000261175446,20041.449946000284,0.0,2051.784597999358,0.2943981544376584,2051.4901998449204,,,,,[],20041.813654153884
sweep_20260627_173904_53bdbde0_results.jsonl,E2.39,E2,success,,,,8,8,16,2,"[0.3, 0.27, 0.22, 0.18, 0.15, 0.11, 0.08, 0.05]",default,16,3,200,10,104,0.5,-40.707,-40.924800000000005,-40.9248,True,False,False,False,True,0.005321956368754365,0.217800000000004,False,False,0.66,19916.270595998867,21,,,1578.8087844848633,429.5003320003161,0.007439999535563402,0.0,0.0,0.061929998992127366,19916.831959000774,0.0,2008.601177998571,0.29206151339167263,2008.3091164851794,,,,,[],19917.193390512693
sweep_20260627_173904_53bdbde0_results.jsonl,E2.40,E2,success,,,,8,8,16,2,"[0.3, 0.27, 0.22, 0.18, 0.15, 0.11, 0.08, 0.05]",default,16,3,200,10,105,0.5,-40.9246,-40.924800000000005,-40.924800000000005,True,True,False,False,True,4.88701227633695e-06,0.0002000000000066393,True,False,0.020000000000000018,20178.527092999502,46,,,1609.9779605865479,441.56195200048387,0.007779999577905983,0.0,0.0,0.06142100028228015,20179.241497000476,0.0,2051.8263680005475,0.28645541351579595,2051.5399125870317,,,,,[],20179.59715341385
sweep_20260627_173904_53bdbde0_results.jsonl,E2.41,E2,success,,,,8,8,16,2,"[0.3, 0.27, 0.22, 0.18, 0.15, 0.11, 0.08, 0.05]",default,16,3,500,10,101,0.5,-40.665600000000005,-40.924800000000005,-40.9248,True,False,False,False,True,0.006333567909922431,0.2591999999999999,False,False,0.72,50154.61739799866,12,,,1609.7838878631592,426.2930969998706,0.007439999535563402,0.0,0.0,0.06450100045185536,50155.25933100071,0.0,2036.3858529999561,0.3088681369263213,2036.0769848630298,,,,,[],50155.64014013762
sweep_20260627_173904_53bdbde0_results.jsonl,E2.42,E2,success,,,,8,8,16,2,"[0.3, 0.27, 0.22, 0.18, 0.15, 0.11, 0.08, 0.05]",default,16,3,500,10,102,0.5,-40.9246,-40.924800000000005,-40.924800000000005,True,True,False,False,True,4.88701227633695e-06,0.0002000000000066393,True,False,0.020000000000000018,50526.99915300036,86,,,1568.955659866333,426.05553599969426,0.007390000973828137,0.0,0.0,0.0635899996268563,50527.671346000716,0.0,1995.3016429990384,0.29044713301118463,1995.0111958660273,,,,,[],50528.03277313433
sweep_20260627_173904_53bdbde0_results.jsonl,E2.43,E2,success,,,,8,8,16,2,"[0.3, 0.27, 0.22, 0.18, 0.15, 0.11, 0.08, 0.05]",default,16,3,500,10,103,0.5,-40.635999999999996,-40.924800000000005,-40.9248,True,False,False,False,True,0.0070568457267965136,0.28880000000000905,False,False,0.76,49994.597249000435,4,,,1547.3051071166992,439.44019099944853,0.01098000029742252,0.0,0.0,0.09439099994779099,49995.22089200036,0.0,1987.0236930000829,0.2783948839351069,1986.7452981161478,,,,,[],49995.60465788454
sweep_20260627_173904_53bdbde0_results.jsonl,E2.44,E2,success,,,,8,8,16,2,"[0.3, 0.27, 0.22, 0.18, 0.15, 0.11, 0.08, 0.05]",default,16,3,500,10,104,0.5,-40.900600000000004,-40.924800000000005,-40.9248,True,False,False,False,True,0.0005913284854171517,0.024200000000000443,False,False,0.21999999999999997,49969.67223499996,21,,,1597.2552299499512,425.76840999936394,0.010329998985980637,0.0,0.0,0.09550100003252737,49970.196446000045,0.0,2023.2948920001945,0.2712520508794114,2023.023639949315,,,,,[],49970.57352904994
sweep_20260627_173904_53bdbde0_results.jsonl,E2.45,E2,success,,,,8,8,16,2,"[0.3, 0.27, 0.22, 0.18, 0.15, 0.11, 0.08, 0.05]",default,16,3,500,10,105,0.5,-40.9248,-40.924800000000005,-40.924800000000005,True,True,True,True,True,0.0,7.105427357601002e-15,True,True,1.1102230246251565e-16,51097.17340300085,46,,,1589.8303985595703,428.54119799994805,0.00726999860489741,0.0,0.0,0.060090000260970555,51097.84816499996,0.0,2018.6554080009955,0.2838114414771553,2018.3715965595184,,,,,[],51098.1993364403
sweep_20260627_173904_53bdbde0_results.jsonl,E2.46,E2,success,,,,8,8,16,2,"[0.3, 0.27, 0.22, 0.18, 0.15, 0.11, 0.08, 0.05]",default,16,4,100,10,101,0.5,-40.9246,-40.924800000000005,-40.9248,True,True,False,False,True,4.88701227633695e-06,0.0002000000000066393,True,False,0.020000000000000018,13113.804794000316,39,,,1617.3899173736572,431.22371600111364,0.0073999999585794285,0.0,0.0,0.06466000013460871,13114.34590600038,0.0,2048.9020960012567,0.2884626264858525,2048.613633374771,,,,,[],13114.70642862696
